# NEPTS  2002 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -3.1431E-02  5.0288E+00  5.0288E+00  1.1468E+02
 -3.1047E-02  4.9033E+00  4.9033E+00  1.1217E+02
 -3.0663E-02  4.9745E+00  4.9745E+00  1.1561E+02
 -3.0280E-02  5.1372E+00  5.1372E+00  1.2377E+02
 -2.9896E-02  5.3755E+00  5.3755E+00  1.3603E+02
 -2.9512E-02  5.6626E+00  5.6626E+00  1.5117E+02
 -2.9129E-02  5.9682E+00  5.9682E+00  1.6776E+02
 -2.8745E-02  6.2653E+00  6.2653E+00  1.8439E+02
 -2.8361E-02  6.5359E+00  6.5359E+00  1.9991E+02
 -2.7977E-02  6.7766E+00  6.7766E+00  2.1358E+02
 -2.7594E-02  7.0040E+00  7.0040E+00  2.2518E+02
 -2.7210E-02  7.0976E+00  7.0976E+00  2.3244E+02
 -2.6826E-02  7.0454E+00  7.0454E+00  2.3507E+02
 -2.6442E-02  6.9022E+00  6.9022E+00  2.3397E+02
 -2.6059E-02  7.0871E+00  7.0871E+00  2.3729E+02
 -2.5675E-02  7.1986E+00  7.1986E+00  2.3762E+02
 -2.5291E-02  7.2274E+00  7.2274E+00  2.3507E+02
 -2.4907E-02  7.1824E+00  7.1824E+00  2.3017E+02
 -2.4524E-02  7.0744E+00  7.0744E+00  2.2344E+02
 -2.4140E-02  6.9150E+00  6.9150E+00  2.1543E+02
 -2.3756E-02  6.7163E+00  6.7163E+00  2.0667E+02
 -2.3373E-02  6.4900E+00  6.4900E+00  1.9763E+02
 -2.2989E-02  6.2470E+00  6.2470E+00  1.8871E+02
 -2.2605E-02  5.9970E+00  5.9970E+00  1.8025E+02
 -2.2221E-02  5.7484E+00  5.7484E+00  1.7249E+02
 -2.1838E-02  5.5081E+00  5.5081E+00  1.6560E+02
 -2.1454E-02  5.2811E+00  5.2811E+00  1.5967E+02
 -2.1070E-02  5.0709E+00  5.0709E+00  1.5472E+02
 -2.0686E-02  4.8795E+00  4.8795E+00  1.5072E+02
 -2.0303E-02  4.7074E+00  4.7074E+00  1.4757E+02
 -1.9919E-02  4.5543E+00  4.5543E+00  1.4517E+02
 -1.9535E-02  4.4185E+00  4.4185E+00  1.4337E+02
 -1.9152E-02  4.2979E+00  4.2979E+00  1.4203E+02
 -1.8768E-02  4.1899E+00  4.1899E+00  1.4100E+02
 -1.8384E-02  4.0919E+00  4.0919E+00  1.4015E+02
 -1.8000E-02  4.0012E+00  4.0012E+00  1.3936E+02
 -1.7617E-02  3.9153E+00  3.9153E+00  1.3854E+02
 -1.7233E-02  3.8324E+00  3.8324E+00  1.3764E+02
 -1.6849E-02  3.7511E+00  3.7511E+00  1.3663E+02
 -1.6465E-02  3.6704E+00  3.6704E+00  1.3549E+02
 -1.6082E-02  3.5904E+00  3.5904E+00  1.3426E+02
 -1.5698E-02  3.5115E+00  3.5115E+00  1.3298E+02
 -1.5314E-02  3.4347E+00  3.4347E+00  1.3170E+02
 -1.4931E-02  3.3616E+00  3.3616E+00  1.3048E+02
 -1.4547E-02  3.2939E+00  3.2939E+00  1.2939E+02
 -1.4163E-02  3.2337E+00  3.2337E+00  1.2848E+02
 -1.3779E-02  3.1827E+00  3.1827E+00  1.2779E+02
 -1.3396E-02  3.1427E+00  3.1427E+00  1.2735E+02
 -1.3012E-02  3.1149E+00  3.1149E+00  1.2714E+02
 -1.2628E-02  3.0999E+00  3.0999E+00  1.2714E+02
 -1.2244E-02  3.0974E+00  3.0974E+00  1.2727E+02
 -1.1861E-02  3.1065E+00  3.1065E+00  1.2746E+02
 -1.1477E-02  3.1251E+00  3.1251E+00  1.2758E+02
 -1.1093E-02  3.1502E+00  3.1502E+00  1.2751E+02
 -1.0710E-02  3.1779E+00  3.1779E+00  1.2708E+02
 -1.0326E-02  3.2034E+00  3.2034E+00  1.2615E+02
